ID;Date;global_id;AdmArea;District;Longitude_WGS84;Latitude_WGS84;Location;Results;ID_en;Date_en;AdmArea_en;District_en;Longitude_WGS84_en;Latitude_WGS84_en;Location_en;Results_en;geodata_center;geoarea
Код;Дата выезда;global_id;Административный округ;Район;Долгота в WGS-84;Широта в WGS-84;Описание местоположения контрольной точки;Результаты выезда;ID_en;Date_en;AdmArea_en;District_en;Longitude_WGS84_en;Latitude_WGS84_en;Location_en;Results_en;geodata_center;geoarea
180;07.04.2016;272437700;Южный административный округ;район Бирюлёво Западное;37.646085;55.595781;Харьковский проезд, дом 1, корпус 3;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов;;;;;;;;;;
181;12.04.2016;272437701;Южный административный округ;район Чертаново Южное;37.610619;55.580457;Дорожная улица, дом 56;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
182;13.04.2016;272437702;Южный административный округ;район Бирюлёво Западное;37.644603;55.578620;Востряковский проезд, дом 11, корпус 2;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
183;13.04.2016;272437703;Южный административный округ;район Бирюлёво Восточное;37.659245;55.591630;Касимовская улица, дом 39;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
184;08.04.2016;272437704;Южный административный округ;район Орехово-Борисово Северное;37.705410;55.621928;улица Маршала Захарова, дом 7;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов;;;;;;;;;;
185;18.04.2016;272437705;Восточный административный округ;район Преображенское;37.734650;55.796005;Большая Черкизовская улица, дом 22, корпус 3;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
186;18.04.2016;272437706;Восточный административный округ;район Измайлово;37.793337;55.802224;7-я Парковая улица, дом 27;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
187;19.04.2016;272437708;Восточный административный округ;район Гольяново;37.827068;55.825477;Хабаровская улица, дом 22, корпус 2;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
188;19.04.2016;272437709;Восточный административный округ;район Новокосино;37.867205;55.738637;Городецкая улица, дом 12/17, корпус 1;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
189;19.04.2016;272437711;Восточный административный округ;район Перово;37.794999;55.762753;Новогиреевская улица, дом 3А;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
190;19.04.2016;272437712;Восточный административный округ;район Ивановское;37.831362;55.754355;улица Молостовых, дом 14, корпус 1;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
191;19.04.2016;272437713;Восточный административный округ;район Восточный;37.869882;55.819287;Главная улица, дом 20;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
192;19.04.2016;272437715;Юго-Восточный административный округ;Рязанский район;37.769495;55.727237;Михайлова улица, дом 25;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
193;20.04.2016;272437716;Юго-Восточный административный округ;район Люблино;37.738710;55.667178;Люблинская улица, дом 76;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
194;20.04.2016;272437718;Юго-Восточный административный округ;район Печатники;37.707628;55.658078;Батюнинская улица, дом 2, корпус 2;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
195;20.04.2016;272437719;Юго-Восточный административный округ;Южнопортовый район;37.682628;55.708673;Южнопортовая улица, дом 12;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
196;20.04.2016;272437720;Юго-Восточный административный округ;Рязанский район;37.776197;55.71518;Федора Полетаева улица, дом 3;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.;;;;;;;;;;
197;26.04.2016;272437721;Юго-Восточный административный округ;район Некрасовка;37.927518;55.681818;1-я Вольская улица, дом 24, корпус 4;По отдельным веществам в атмосферном воздухе выявлены повышенные максимальные разовые концентрации загрязняющих веществ.;;;;;;;;;;
198;06.04.2016;272437722;Новомосковский административный округ;"поселение ""Мосрентген""";37.468192;55.620301;посёлок Завода Мосрентген, дом 33;По отдельным веществам в атмосферном воздухе выявлены повышенные максимальные разовые концентрации загрязняющих веществ.;;;;;;;;;;
203;07.04.2016;272437723;Новомосковский административный округ;поселение Десеновское;37.368577;55.514432;Кедровая улица, дом 12;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов.;;;;;;;;;;
204;12.04.2016;272437724;Центральный административный округ;Таганский район;37.687605;55.741075;Рабочая улица, дом 37;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов.;;;;;;;;;;
205;12.04.2016;272437725;Центральный административный округ;район Замоскворечье;37.637263;55.733726;улица Бахрушина, дом 21-23, строение 5;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов.;;;;;;;;;;
206;04.04.2016;272437726;Северо-Восточный административный округ;район Ростокино;37.643848;55.836736;Сельскохозяйственная улица, дом 16, корпус 1;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов.;;;;;;;;;;
207;04.04.2016;272437728;Северо-Восточный административный округ;Останкинский район;37.622998;55.824951;1-я Останкинская улица, дом 25;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов.;;;;;;;;;;
208;05.04.2016;272437729;Северо-Восточный административный округ;район Южное Медведково;37.621669;55.879329;Молодцова улица, дом 33, корпус 1;Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов.;;;;;;;;;;
